User Input (Symptoms),Disease
"I’ve been feeling really tired, and I’m noticing some swelling in my legs.",Congestive Heart Failure
"My throat hurts when I swallow, and I have a fever. I also feel really fatigued.",Streptococcal Pharyngitis (Strep Throat)
I have sharp chest pain that gets worse with deep breaths or coughing.,Pneumothorax
"I have frequent urination, excessive thirst, and I’ve lost weight unexpectedly.",Diabetes Mellitus (Type 1 or Type 2)
"My joints hurt and are swollen, especially in the mornings, and I’m feeling very stiff.",Rheumatoid Arthritis
"I’ve had a bad headache, nausea, and I’m really sensitive to light.",Migraine
"I’m feeling short of breath, especially when I’m active, and I have a dry cough.",Chronic Obstructive Pulmonary Disease (COPD)
"I’ve been feeling depressed, sleeping too much, and not interested in things I usually enjoy.",Major Depressive Disorder
I have a rash that started on my face and spread to my chest. It’s a bit itchy.,Systemic Lupus Erythematosus (SLE)
I’m having pain in my lower abdomen and I feel nauseous. I might have a fever too.,Appendicitis
"I have a constant feeling of dizziness, and sometimes the room feels like it’s spinning.",Benign Paroxysmal Positional Vertigo (BPPV)
"I’ve been feeling increasingly short of breath, especially at night, and I have a persistent cough.",Asthma
"I’ve been sweating excessively, even when I’m not exerting myself, and I’ve lost weight without trying.",Hyperthyroidism (Graves’ Disease)
"I’ve been having abdominal pain, bloating, and diarrhea, especially after eating certain foods.",Irritable Bowel Syndrome (IBS)
"I’m constantly feeling thirsty and need to drink water all the time, and I’m also urinating a lot.",Diabetes Insipidus
"I’ve had a fever, muscle aches, and a sore throat for the past couple of days.",Influenza (Flu)
I feel pain and tenderness in my lower back and have trouble urinating.,Kidney Stones
"I’m feeling extremely fatigued, have swollen lymph nodes, and my throat hurts.",Mononucleosis (Mono)
"My hands and feet feel numb, and I’m experiencing a tingling sensation in my fingers.",Peripheral Neuropathy
I’m coughing a lot and I’m producing a lot of mucus that’s yellow or green in color.,Chronic Bronchitis
"I’m experiencing sudden, severe pain in my upper right abdomen, and I feel nauseous.",Gallbladder Stones (Cholelithiasis)
"I’ve been getting frequent headaches, nausea, and blurry vision.",Glaucoma
"I have a rash that started with small, itchy red bumps, and now they’ve turned into blisters.",Chickenpox (Varicella)
"I’m having a hard time swallowing, and food feels like it’s stuck in my throat.",Esophageal Stricture
I’ve been coughing up blood and I feel really short of breath.,Pulmonary Tuberculosis (TB)
"I feel bloated after eating, and my stomach is constantly gurgling.",Gastroenteritis
"My skin is turning a yellowish color, and I’m feeling really weak.",Hepatitis
I’m feeling nauseous and my abdomen is swollen and painful.,Ovarian Cyst
"I’ve been getting painful, itchy sores on my genital area.",Herpes Simplex Virus (HSV) Infection
I have painful sores in my mouth and a fever.,"Hand, Foot, and Mouth Disease"
"I’ve had a sore throat, fever, and swollen lymph nodes for a couple of days now.",Tonsillitis
"I’m having sharp, stabbing pain in my chest that radiates to my left arm and jaw.",Myocardial Infarction (Heart Attack)
"I have severe pain in my lower abdomen, nausea, and a fever.",Pelvic Inflammatory Disease (PID)
"I feel very weak, dizzy, and my heart races sometimes.",Dehydration
"I’ve been feeling itchy all over, and my skin is getting dry and flaky.",Eczema (Atopic Dermatitis)
I have trouble focusing and a constant sensation of dryness in my mouth.,Sjogren's Syndrome
"I’m feeling extremely weak, confused, and have trouble staying awake.",Hypoglycemia
"I’ve had a runny nose, sneezing, and itchy eyes for the last week.",Allergic Rhinitis
I feel lightheaded and have trouble breathing after walking short distances.,Pulmonary Embolism
"I’m experiencing a stiff neck and severe headache, and I’m sensitive to light.",Meningitis
I have pain in my lower right side and a loss of appetite.,Appendicitis
"I have difficulty swallowing, a hoarse voice, and feel like something is stuck in my throat.",Gastroesophageal Reflux Disease (GERD)
"I’ve had persistent muscle cramps and pain in my legs, especially at night.",Leg Cramps (Possible Electrolyte Imbalance)
"I’ve been feeling dizzy and lightheaded, especially when I stand up quickly.",Orthostatic Hypotension
"I feel like I have a constant lump in my throat, and I’m coughing a lot.",Post-Nasal Drip
I’ve been feeling more anxious than usual and having trouble sleeping.,Generalized Anxiety Disorder (GAD)
"I have blurry vision, frequent urination, and am losing weight unexpectedly.",Diabetes Mellitus (Type 1)
"My back hurts, and I feel like my chest is tight when I breathe deeply.",Muscle Strain
"I’m constantly feeling itchy, especially on my scalp and in the creases of my elbows.",Psoriasis
"I have a persistent sore throat, and my voice is hoarse.",Laryngitis
"I’m experiencing fever, chills, and pain when I urinate.",Urinary Tract Infection (UTI)
I feel like I have a constant headache and can’t concentrate.,Tension Headache
I’ve been getting painful blisters on my lips that are very sensitive.,Cold Sores (Herpes Simplex Virus 1)
"I feel lightheaded, have a racing heart, and sometimes get faint.",Panic Attack
"My stomach is upset, I feel bloated, and I’ve been having diarrhea.",Lactose Intolerance
"I’m feeling very tired, and I’ve noticed some dark spots on my skin.",Addison's Disease
I’ve been waking up with a dry mouth and feeling very thirsty during the day.,Diabetes Mellitus (Type 2)
"I’ve been feeling really nauseous, and I’m not able to keep food down.",Gastritis
"I feel very stiff in the mornings, and my joints ache, especially in the fingers and knees.",Osteoarthritis
"I’ve been having chest pain, sweating, and feeling dizzy.",Angina Pectoris
I feel nauseous and have a lot of gas and bloating in my stomach.,Gastroesophageal Reflux Disease (GERD)
I have severe pain on the side of my face and it’s getting worse with chewing.,Temporomandibular Joint Disorder (TMJ)
"I feel faint, have a headache, and my skin looks pale.",Anemia
"My hands shake a lot, especially when I’m trying to hold something steady.",Parkinson's Disease
"I feel feverish, and I’m having trouble breathing deeply.",Pneumonia
"I’ve had severe abdominal pain, nausea, and diarrhea.",Crohn’s Disease
"My muscles ache, and I’ve had trouble concentrating. I also feel more tired than usual.",Fibromyalgia
"I’ve been feeling anxious, and I’m sweating a lot more than usual.",Hyperthyroidism
"I have a rash that looks like small, red bumps and it’s spread from my chest to my arms.",Hives (Urticaria)
"I have difficulty breathing, especially when lying down, and I’m coughing a lot at night.",Heart Failure
"I’ve been waking up with a sore throat, and I feel tired during the day.",Sleep Apnea
"I’ve had a fever, and I’m feeling chills and sweating.",Malaria
"I’m feeling really dizzy and sometimes faint, especially when I stand up.",Orthostatic Hypotension
"I have swelling around my eyes, a stuffy nose, and some facial pain.",Sinus Infection (Sinusitis)
I’m feeling really weak and my muscles are sore.,Influenza
"I’ve been experiencing persistent, severe headaches with nausea and vision changes.",Migraine
"I feel really tired, have cold hands and feet, and my hair is thinning.",Hypothyroidism
"I’ve been feeling irritable, sweating a lot, and sometimes shaking.",Hypoglycemia
"I’m feeling dizzy, have chest pain, and my legs are swollen.",Deep Vein Thrombosis (DVT)
"I’ve had swollen lymph nodes, a sore throat, and a fever for a few days.",Infectious Mononucleosis (Mono)
"I’ve been coughing up mucus that is green or yellow, and I feel short of breath.",Bronchitis
I feel like my heart is racing and I’m sweating more than usual.,Hyperthyroidism
"I’ve been feeling nauseous and vomiting frequently, especially after eating.",Gallbladder Disease
"I’ve been experiencing severe joint pain, especially in my knees, and my skin is becoming red and swollen.",Rheumatoid Arthritis
"I have a persistent sore throat, difficulty swallowing, and a low-grade fever.",Tonsillitis
"I’m feeling very weak, and I’ve noticed my legs are swollen and heavy.",Chronic Venous Insufficiency
I’ve been feeling short of breath when climbing stairs and my ankles are swelling.,Congestive Heart Failure
"I’ve been having trouble falling asleep, and I wake up feeling tired with a headache.",Sleep Apnea
"I’ve had ringing in my ears, dizziness, and a feeling of fullness in one ear.",Meniere's Disease
"I’ve been feeling excessively hungry, and I’m constantly thirsty, even after drinking a lot.",Diabetes Mellitus (Type 2)
I’ve been feeling itchy and have developed small blisters on my hands and feet.,"Hand, Foot, and Mouth Disease"
"I’ve been getting leg cramps at night, and my muscles feel sore and weak.",Electrolyte Imbalance
"I feel feverish, have body aches, and my throat hurts when I swallow.",Influenza
"I’ve had diarrhea for over a week, and I’m feeling very fatigued.",Gastroenteritis
"I have a sharp, stabbing pain in my chest, and it worsens when I breathe in deeply.",Pleurisy
I feel full after eating only a small amount of food and have nausea.,Gastroparesis
"I’ve been losing weight without trying, and I’m feeling really thirsty and tired all the time.",Hyperthyroidism
"I have a constant headache, sensitivity to light, and feel nauseous.",Migraine
"I’m feeling lightheaded, with blurred vision, and my hands are shaking.",Hypoglycemia
"I’ve been experiencing excessive thirst and frequent urination, and I feel fatigued.",Diabetes Insipidus
